restaurant_name,inspection_score,grade
Gaby Brasserie Française,,
Bocca Di Bacco (Chelsea - 20th St.),,
Merakia,18.272727272727273,B
Giorgio's of Gramercy,,
Delmonico's Kitchen,,
Bobby Van's Grill Times Square,,
Tender Restaurant,,
Jue Lan Club,33.774193548387096,C
Altesi Ristorante,16.76923076923077,B
Leonelli Taberna,7.0,A
Astor Court,,
STATE Grill and Bar,,
Haru Hell's Kitchen,,
The Shakespeare,16.045454545454547,B
Kingside,,
La Fonda Del Sol,12.222222222222221,A
Amma,19.125,B
Frankie & Johnnie's Steakhouse - Manhattan,,
Ben and Jack's Steakhouse 44th Street,,
Il Postino,22.8,B
Bread & Tulips,7.0,A
Vandal,15.5,B
Bob's Steak & Chop House - New York,,
Blenheim,,
Montebello Ristorante Italiano,,
1 Darbar,15.6875,B
Meet the Meat,,
Cafe Clover,16.9047619047619,B
Nobu Downtown | Restaurant,,
2 Darbar Grill,,
Junoon Main Dining Room,,
Left Bank NYC,,
Beauty & Essex- New York,,
Mercer Kitchen,17.53846153846154,B
The Dutch,9.25,A
Lafayette,22.82608695652174,B
Bar Primi,22.13333333333333,B
Lupa,,
Boucherie - West Village,,
Lure New York,,
Indochine,,
Hearth,10.555555555555557,A
The Loyal,28.63636363636364,C
Sant Ambroeus SoHo,,
Tamarind - Tribeca,,
El Vez New York,,
Pig and Khao,,
Sarabeth's TriBeCa,,
MAMO Restaurant,,
Leuca,,
Bâtard,,
Il Mulino New York - Downtown,,
BAAR BAAR,,
The Bombay Bread Bar,,
Little Park,9.714285714285714,A
Narcissa Restaurant,,
MR CHOW - TriBeca,,
Essex,15.6875,B
Pera Soho,25.235294117647058,B
Tribeca Grill,11.25,A
Delmonico's,,
Dos Caminos - SoHo,,
Gran Morsi,23.56,B
Toloache Thompson St.,,
Temple Court,15.833333333333336,B
Temple Court,30.45,C
Khe-Yo,13.272727272727273,A
The Osprey,6.5,A
SAN CARLO  Osteria Piemonte,,
Osteria della Pace - Eataly NYC Downtown,,
Il Mulino New York - Tribeca,,
La Loteria,11.866666666666667,A
Porsena,,
Il Mulino Prime - SoHo,,
Fonda - East Village,,
10 Corso Como - New York,,
The Woo,,
Socarrat Paella Bar - Nolita,,
Antica Pesa,18.384615384615387,B
American Cut Steakhouse,,
The Palm Tribeca,,
La Sirene,,
CUT By Wolfgang Puck at FS Downtown New York,,
The Capital Grille - NY- Wall Street,,
Felice 15 Gold Street,,
Rosa Mexicano - TriBeCa,,
Barano,23.33333333333333,B
Frankie and Johnnie's Steakhouse - 46th Street,,
The Wright,,
Henry at Life Hotel,,
Strip House Speakeasy,,
The Morgan Dining Room,,
The Library at the Public,,
Cipriani - Wall Street,,
Tarallucci e Vino East Village,,
Thalassa,12.538461538461537,A
Limani,17.25,B
Schilling,16.444444444444443,B
Altesi Downtown,,
Harold's,,
Benchmark Restaurant,,
Bellini,8.727272727272727,A
Bellini,13.0,A
Bistrot Leo,20.63636363636364,B
MarkJoseph Steakhouse,,
ATRIO Wine Bar & Restaurant,,
Nonna Beppa,37.0,C
The Tuck Room- New York,,
Morton's The Steakhouse - World Trade Center,,
Joseph's Restaurant,,
2 West at The Wagner Hotel,,
Greenhouse Cafe,,
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI",,
Soogil,11.0,A
Senya,15.625,B
Yellow Magnolia Café,,
Stella Trattoria & Bar,,
