restaurant_name,percent_recommend
The Loyal,77
Sant Ambroeus SoHo,89
Tamarind - Tribeca,89
El Vez New York,89
Pig and Khao,92
Sarabeth's TriBeCa,75
MAMO Restaurant,95
Leuca,83
Bâtard,93
Il Mulino New York - Downtown,89
BAAR BAAR,86
The Bombay Bread Bar,65
Little Park,96
Narcissa Restaurant,92
MR CHOW - TriBeca,68
Essex,76
Pera Soho,80
Tribeca Grill,86
Delmonico's,94
Dos Caminos - SoHo,80
Gran Morsi,90
Toloache Thompson St.,88
Temple Court,90
Temple Court,90
Khe-Yo,85
The Osprey,93
SAN CARLO  Osteria Piemonte,91
Osteria della Pace - Eataly NYC Downtown,87
Il Mulino New York - Tribeca,89
La Loteria,90
Porsena,97
Il Mulino Prime - SoHo,71
Fonda - East Village,89
10 Corso Como - New York,82
The Woo,100
Socarrat Paella Bar - Nolita,93
Antica Pesa,78
American Cut Steakhouse,71
The Palm Tribeca,89
La Sirene,94
CUT By Wolfgang Puck at FS Downtown New York,86
The Capital Grille - NY- Wall Street,93
Felice 15 Gold Street,97
Rosa Mexicano - TriBeCa,82
Barano,100
Frankie and Johnnie's Steakhouse - 46th Street,76
The Wright,91
Henry at Life Hotel,100
Strip House Speakeasy,85
The Morgan Dining Room,87
The Library at the Public,92
Cipriani - Wall Street,84
Tarallucci e Vino East Village,88
Thalassa,82
Limani,91
Schilling,93
Altesi Downtown,90
Harold's,85
Benchmark Restaurant,87
Bellini,78
Bellini,78
Bistrot Leo,100
MarkJoseph Steakhouse,94
ATRIO Wine Bar & Restaurant,75
Nonna Beppa,100
The Tuck Room- New York,76
Morton's The Steakhouse - World Trade Center,90
Joseph's Restaurant,100
2 West at The Wagner Hotel,86
Greenhouse Cafe,88
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI",88
Soogil,90
Senya,100
Yellow Magnolia Café,91
Stella Trattoria & Bar,91
